approach,development_method,versions_seen,runs,success_rate,collision_rate,timeout_rate,invalid_rate,average_steps,average_optimal_steps,efficiency_score
gpt_pdd_group_a,PDD,5,75,0.0,0.0,0.0,1.0,0.0,9.467,0.0
gpt_pdd_group_a1,PDD,3,45,0.178,0.0,0.822,0.0,20.756,9.467,0.174
gpt_pdd_group_a2,PDD,2,30,0.0,0.0,0.0,1.0,0.0,9.467,0.0
gpt_pdd_group_a3,PDD,2,30,0.133,0.0,0.867,0.0,21.4,9.467,0.133
gpt_pdd_group_b1,PDD,8,120,0.192,0.0,0.683,0.125,17.758,9.467,0.171
gpt_pdd_group_b2,PDD,8,120,0.1,0.0,0.775,0.125,18.942,9.467,0.098
gpt_pdd_group_b3,PDD,8,120,0.242,0.0,0.633,0.125,17.133,9.467,0.215
gpt_sdd,SDD,1,15,0.0,0.0,0.0,1.0,0.0,9.467,0.0
gpt_sdd_a,SDD,4,60,0.283,0.0,0.467,0.25,13.75,9.467,0.211
gpt_sdd_b,SDD,4,60,0.233,0.0,0.517,0.25,15.2,9.467,0.143
gpt_sdd_c,SDD,4,60,0.2,0.0,0.55,0.25,15.15,9.467,0.138
opus_pdd,PDD,5,75,0.0,0.0,1.0,0.0,23.0,9.467,0.0
opus_pdd_group_a,PDD,5,75,0.0,0.0,1.0,0.0,23.0,9.467,0.0
opus_pdd_group_a1,PDD,3,45,0.0,0.0,1.0,0.0,23.0,9.467,0.0
opus_pdd_group_a2,PDD,2,30,0.0,0.0,1.0,0.0,23.0,9.467,0.0
opus_pdd_group_a3,PDD,2,30,0.0,0.0,1.0,0.0,23.0,9.467,0.0
opus_pdd_group_b1,PDD,8,120,0.167,0.0,0.833,0.0,21.042,9.467,0.123
opus_pdd_group_b2,PDD,8,120,0.133,0.0,0.867,0.0,21.25,9.467,0.1
opus_pdd_group_b3,PDD,8,120,0.167,0.0,0.708,0.125,18.125,9.467,0.122
opus_sdd,SDD,1,15,0.0,0.0,1.0,0.0,23.0,9.467,0.0
opus_sdd_a,SDD,4,60,0.4,0.0,0.6,0.0,18.767,9.467,0.276
opus_sdd_b,SDD,4,60,0.3,0.0,0.7,0.0,20.083,9.467,0.197
opus_sdd_c,SDD,4,60,0.467,0.0,0.533,0.0,17.45,9.467,0.325
oracle,OTHER,1,15,0.467,0.0,0.533,0.0,17.467,9.467,0.313
random_baseline,OTHER,1,15,0.0,0.0,1.0,0.0,23.0,9.467,0.0
target,OTHER,2,30,0.667,0.0,0.333,0.0,15.267,9.467,0.49
