approach,difficulty,challenge_type,versions_seen,runs,success_rate,collision_rate,timeout_rate,invalid_rate,average_steps,average_optimal_steps,efficiency_score,drift_rate,regression_rate,improvement_rate,pure_trace_drift_rate
gpt_pdd_group_a,easy,all,5,25,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
gpt_pdd_group_a,hard,all,5,25,0.0,0.0,0.0,1.0,0.0,11.2,0.0,0.0,0.0,0.0,0.0
gpt_pdd_group_a,medium,all,5,25,0.0,0.0,0.0,1.0,0.0,10.2,0.0,0.0,0.0,0.0,0.0
gpt_pdd_group_a1,easy,all,3,15,0.267,0.0,0.733,0.0,21.2,7.0,0.26,0.1,0.0,0.1,0.0
gpt_pdd_group_a1,hard,all,3,15,0.067,0.0,0.933,0.0,24.067,11.2,0.062,0.2,0.0,0.1,0.1
gpt_pdd_group_a1,medium,all,3,15,0.2,0.0,0.8,0.0,17.0,10.2,0.2,0.0,0.0,0.0,0.0
gpt_pdd_group_a2,easy,all,2,10,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
gpt_pdd_group_a2,hard,all,2,10,0.0,0.0,0.0,1.0,0.0,11.2,0.0,0.0,0.0,0.0,0.0
gpt_pdd_group_a2,medium,all,2,10,0.0,0.0,0.0,1.0,0.0,10.2,0.0,0.0,0.0,0.0,0.0
gpt_pdd_group_a3,easy,all,2,10,0.2,0.0,0.8,0.0,22.4,7.0,0.2,0.0,0.0,0.0,0.0
gpt_pdd_group_a3,hard,all,2,10,0.0,0.0,1.0,0.0,24.8,11.2,0.0,0.0,0.0,0.0,0.0
gpt_pdd_group_a3,medium,all,2,10,0.2,0.0,0.8,0.0,17.0,10.2,0.2,0.0,0.0,0.0,0.0
gpt_pdd_group_b1,easy,all,8,40,0.35,0.0,0.525,0.125,17.25,7.0,0.292,0.2,0.029,0.171,0.0
gpt_pdd_group_b1,hard,all,8,40,0.05,0.0,0.825,0.125,21.15,11.2,0.046,0.457,0.029,0.2,0.229
gpt_pdd_group_b1,medium,all,8,40,0.175,0.0,0.7,0.125,14.875,10.2,0.175,0.171,0.0,0.143,0.029
gpt_pdd_group_b2,easy,all,8,40,0.15,0.0,0.725,0.125,20.0,7.0,0.15,0.486,0.029,0.143,0.314
gpt_pdd_group_b2,hard,all,8,40,0.0,0.0,0.875,0.125,21.7,11.2,0.0,0.457,0.0,0.143,0.314
gpt_pdd_group_b2,medium,all,8,40,0.15,0.0,0.725,0.125,15.125,10.2,0.144,0.457,0.057,0.171,0.229
gpt_pdd_group_b3,easy,all,8,40,0.4,0.0,0.475,0.125,16.2,7.0,0.343,0.371,0.143,0.229,0.0
gpt_pdd_group_b3,hard,all,8,40,0.15,0.0,0.725,0.125,20.325,11.2,0.128,0.286,0.057,0.171,0.057
gpt_pdd_group_b3,medium,all,8,40,0.175,0.0,0.7,0.125,14.875,10.2,0.175,0.286,0.0,0.143,0.143
gpt_sdd,easy,all,1,5,0.0,0.0,0.0,1.0,0.0,7.0,0.0,,,,
gpt_sdd,hard,all,1,5,0.0,0.0,0.0,1.0,0.0,11.2,0.0,,,,
gpt_sdd,medium,all,1,5,0.0,0.0,0.0,1.0,0.0,10.2,0.0,,,,
gpt_sdd_a,easy,all,4,20,0.6,0.0,0.15,0.25,10.6,7.0,0.437,0.867,0.333,0.533,0.0
gpt_sdd_a,hard,all,4,20,0.2,0.0,0.55,0.25,17.1,11.2,0.147,1.0,0.2,0.4,0.4
gpt_sdd_a,medium,all,4,20,0.05,0.0,0.7,0.25,13.55,10.2,0.05,1.0,0.067,0.333,0.6
gpt_sdd_b,easy,all,4,20,0.55,0.0,0.2,0.25,14.05,7.0,0.307,0.8,0.267,0.467,0.067
gpt_sdd_b,hard,all,4,20,0.05,0.0,0.7,0.25,18.4,11.2,0.023,1.0,0.067,0.333,0.6
gpt_sdd_b,medium,all,4,20,0.1,0.0,0.65,0.25,13.15,10.2,0.1,1.0,0.067,0.4,0.533
gpt_sdd_c,easy,all,4,20,0.45,0.0,0.3,0.25,13.8,7.0,0.296,0.867,0.267,0.467,0.133
gpt_sdd_c,hard,all,4,20,0.05,0.0,0.7,0.25,18.35,11.2,0.032,1.0,0.067,0.333,0.6
gpt_sdd_c,medium,all,4,20,0.1,0.0,0.65,0.25,13.3,10.2,0.085,1.0,0.067,0.4,0.533
opus_pdd,easy,all,5,25,0.0,0.0,1.0,0.0,25.6,7.0,0.0,0.0,0.0,0.0,0.0
opus_pdd,hard,all,5,25,0.0,0.0,1.0,0.0,24.8,11.2,0.0,0.0,0.0,0.0,0.0
opus_pdd,medium,all,5,25,0.0,0.0,1.0,0.0,18.6,10.2,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a,easy,all,5,25,0.0,0.0,1.0,0.0,25.6,7.0,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a,hard,all,5,25,0.0,0.0,1.0,0.0,24.8,11.2,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a,medium,all,5,25,0.0,0.0,1.0,0.0,18.6,10.2,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a1,easy,all,3,15,0.0,0.0,1.0,0.0,25.6,7.0,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a1,hard,all,3,15,0.0,0.0,1.0,0.0,24.8,11.2,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a1,medium,all,3,15,0.0,0.0,1.0,0.0,18.6,10.2,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a2,easy,all,2,10,0.0,0.0,1.0,0.0,25.6,7.0,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a2,hard,all,2,10,0.0,0.0,1.0,0.0,24.8,11.2,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a2,medium,all,2,10,0.0,0.0,1.0,0.0,18.6,10.2,0.0,0.0,0.0,0.0,0.0
