approach,difficulty,challenge_type,versions_seen,runs,success_rate,collision_rate,timeout_rate,invalid_rate,average_steps,average_optimal_steps,efficiency_score,drift_rate,regression_rate,improvement_rate,pure_trace_drift_rate
gpt_pdd_group_a,easy,all,5,25,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
gpt_pdd_group_a,hard,all,5,25,0.0,0.0,0.0,1.0,0.0,11.2,0.0,0.0,0.0,0.0,0.0
gpt_pdd_group_a,medium,all,5,25,0.0,0.0,0.0,1.0,0.0,10.2,0.0,0.0,0.0,0.0,0.0
gpt_pdd_group_a1,easy,all,3,15,0.267,0.0,0.733,0.0,21.2,7.0,0.26,0.1,0.0,0.1,0.0
gpt_pdd_group_a1,hard,all,3,15,0.067,0.0,0.933,0.0,24.067,11.2,0.062,0.2,0.0,0.1,0.1
gpt_pdd_group_a1,medium,all,3,15,0.2,0.0,0.8,0.0,17.0,10.2,0.2,0.0,0.0,0.0,0.0
gpt_pdd_group_a2,easy,all,2,10,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
gpt_pdd_group_a2,hard,all,2,10,0.0,0.0,0.0,1.0,0.0,11.2,0.0,0.0,0.0,0.0,0.0
gpt_pdd_group_a2,medium,all,2,10,0.0,0.0,0.0,1.0,0.0,10.2,0.0,0.0,0.0,0.0,0.0
gpt_pdd_group_a3,easy,all,2,10,0.2,0.0,0.8,0.0,22.4,7.0,0.2,0.0,0.0,0.0,0.0
gpt_pdd_group_a3,hard,all,2,10,0.0,0.0,1.0,0.0,24.8,11.2,0.0,0.0,0.0,0.0,0.0
gpt_pdd_group_a3,medium,all,2,10,0.2,0.0,0.8,0.0,17.0,10.2,0.2,0.0,0.0,0.0,0.0
gpt_pdd_group_b1,easy,all,8,40,0.35,0.0,0.525,0.125,17.25,7.0,0.292,0.2,0.029,0.171,0.0
gpt_pdd_group_b1,hard,all,8,40,0.05,0.0,0.825,0.125,21.15,11.2,0.046,0.457,0.029,0.2,0.229
gpt_pdd_group_b1,medium,all,8,40,0.175,0.0,0.7,0.125,14.875,10.2,0.175,0.171,0.0,0.143,0.029
gpt_pdd_group_b2,easy,all,8,40,0.15,0.0,0.725,0.125,20.0,7.0,0.15,0.486,0.029,0.143,0.314
gpt_pdd_group_b2,hard,all,8,40,0.0,0.0,0.875,0.125,21.7,11.2,0.0,0.457,0.0,0.143,0.314
gpt_pdd_group_b2,medium,all,8,40,0.15,0.0,0.725,0.125,15.125,10.2,0.144,0.457,0.057,0.171,0.229
gpt_pdd_group_b3,easy,all,8,40,0.4,0.0,0.475,0.125,16.2,7.0,0.343,0.371,0.143,0.229,0.0
gpt_pdd_group_b3,hard,all,8,40,0.15,0.0,0.725,0.125,20.325,11.2,0.128,0.286,0.057,0.171,0.057
gpt_pdd_group_b3,medium,all,8,40,0.175,0.0,0.7,0.125,14.875,10.2,0.175,0.286,0.0,0.143,0.143
