chain,development_method,version,validity_status,controller_path,scenarios,success_count,success_rate,collision_count,collision_rate,timeout_count,timeout_rate,invalid_count,invalid_rate,average_steps,average_optimal_steps,efficiency_score
gpt_pdd_group_a,PDD,1,all_invalid,controllers/pdd_group_a/controller_v1.py,15,0,0.0,0,0.0,0,0.0,15,1.0,0.0,9.467,0.0
gpt_pdd_group_a,PDD,2,all_invalid,controllers/pdd_group_a/controller_v2.py,15,0,0.0,0,0.0,0,0.0,15,1.0,0.0,9.467,0.0
gpt_pdd_group_a,PDD,3,all_invalid,controllers/pdd_group_a/controller_v3.py,15,0,0.0,0,0.0,0,0.0,15,1.0,0.0,9.467,0.0
gpt_pdd_group_a,PDD,4,all_invalid,controllers/pdd_group_a/controller_v4.py,15,0,0.0,0,0.0,0,0.0,15,1.0,0.0,9.467,0.0
gpt_pdd_group_a,PDD,5,all_invalid,controllers/pdd_group_a/controller_v5.py,15,0,0.0,0,0.0,0,0.0,15,1.0,0.0,9.467,0.0
gpt_pdd_group_a1,PDD,1,valid,controllers/pdd_group_a1/controller_v1.py,15,2,0.133,0,0.0,13,0.867,0,0.0,21.4,9.467,0.133
gpt_pdd_group_a1,PDD,2,valid,controllers/pdd_group_a1/controller_v2.py,15,2,0.133,0,0.0,13,0.867,0,0.0,21.4,9.467,0.133
gpt_pdd_group_a1,PDD,3,valid,controllers/pdd_group_a1/controller_v3.py,15,4,0.267,0,0.0,11,0.733,0,0.0,19.467,9.467,0.255
gpt_pdd_group_a2,PDD,4,all_invalid,controllers/pdd_group_a2/controller_v4.py,15,0,0.0,0,0.0,0,0.0,15,1.0,0.0,9.467,0.0
gpt_pdd_group_a2,PDD,5,all_invalid,controllers/pdd_group_a2/controller_v5.py,15,0,0.0,0,0.0,0,0.0,15,1.0,0.0,9.467,0.0
gpt_pdd_group_a3,PDD,6,valid,controllers/pdd_group_a3/controller_v6.py,15,2,0.133,0,0.0,13,0.867,0,0.0,21.4,9.467,0.133
