approach,scenario_id,scenario_name,dominant_outcome,consistency_score,consistency_interpretation
gpt_pdd_group_b3,1,easy_open_short_path,GOAL_REACHED,0.875,high_consistency_reliable_success
gpt_pdd_group_b3,2,easy_single_obstacle_detour,TIMEOUT,0.875,high_consistency_stagnation
gpt_pdd_group_b3,3,easy_l_wall_one_turn,GOAL_REACHED,0.75,mixed_or_variable
gpt_pdd_group_b3,4,easy_corner_goal_blocked,TIMEOUT,0.5,mixed_or_variable
gpt_pdd_group_b3,5,easy_two_isolated_obstacles,TIMEOUT,0.875,high_consistency_stagnation
gpt_pdd_group_b3,6,medium_straight_narrow_corridor,GOAL_REACHED,0.875,high_consistency_reliable_success
gpt_pdd_group_b3,7,medium_s_shaped_path,TIMEOUT,0.875,high_consistency_stagnation
gpt_pdd_group_b3,8,medium_central_obstacle,TIMEOUT,0.875,high_consistency_stagnation
gpt_pdd_group_b3,9,medium_single_valid_detour,TIMEOUT,0.875,high_consistency_stagnation
gpt_pdd_group_b3,10,medium_dead_end_corridors,TIMEOUT,0.875,high_consistency_stagnation
gpt_pdd_group_b3,11,hard_maze_one_dead_end,GOAL_REACHED,0.75,mixed_or_variable
gpt_pdd_group_b3,12,hard_u_trap_goal,TIMEOUT,0.875,high_consistency_stagnation
gpt_pdd_group_b3,13,hard_long_detour_budget,TIMEOUT,0.875,high_consistency_stagnation
gpt_pdd_group_b3,14,hard_two_dead_ends,TIMEOUT,0.875,high_consistency_stagnation
gpt_pdd_group_b3,15,hard_move_away_corridor,TIMEOUT,0.875,high_consistency_stagnation
