approach,challenge_type,versions_seen,runs,success_rate,collision_rate,timeout_rate,invalid_rate,average_steps,average_optimal_steps,efficiency_score,drift_rate,regression_rate,improvement_rate,pure_trace_drift_rate
gpt_sdd,corridor,1,2,0.0,0.0,0.0,1.0,0.0,11.0,0.0,,,,
gpt_sdd,counterintuitive,1,3,0.0,0.0,0.0,1.0,0.0,11.0,0.0,,,,
gpt_sdd,dead_end,1,3,0.0,0.0,0.0,1.0,0.0,10.667,0.0,,,,
gpt_sdd,single_detour,1,6,0.0,0.0,0.0,1.0,0.0,8.5,0.0,,,,
gpt_sdd,straight_line,1,1,0.0,0.0,0.0,1.0,0.0,4.0,0.0,,,,
gpt_sdd_a,corridor,4,8,0.125,0.0,0.625,0.25,12.125,11.0,0.125,1.0,0.167,0.333,0.5
gpt_sdd_a,counterintuitive,4,12,0.083,0.0,0.667,0.25,17.417,11.0,0.057,1.0,0.111,0.444,0.444
gpt_sdd_a,dead_end,4,12,0.25,0.0,0.5,0.25,16.083,10.667,0.188,1.0,0.222,0.333,0.444
gpt_sdd_a,single_detour,4,24,0.375,0.0,0.375,0.25,13.083,8.5,0.239,1.0,0.278,0.5,0.222
gpt_sdd_a,straight_line,4,4,0.75,0.0,0.0,0.25,3.0,4.0,0.75,0.333,0.0,0.333,0.0
gpt_sdd_b,corridor,4,8,0.25,0.0,0.5,0.25,11.125,11.0,0.25,1.0,0.167,0.5,0.333
gpt_sdd_b,counterintuitive,4,12,0.0,0.0,0.75,0.25,18.0,11.0,0.0,1.0,0.0,0.333,0.667
gpt_sdd_b,dead_end,4,12,0.083,0.0,0.667,0.25,17.667,10.667,0.038,1.0,0.111,0.333,0.556
gpt_sdd_b,single_detour,4,24,0.333,0.0,0.417,0.25,15.958,8.5,0.131,0.944,0.222,0.444,0.278
gpt_sdd_b,straight_line,4,4,0.75,0.0,0.0,0.25,3.0,4.0,0.75,0.333,0.0,0.333,0.0
gpt_sdd_c,corridor,4,8,0.25,0.0,0.5,0.25,11.5,11.0,0.212,1.0,0.167,0.5,0.333
gpt_sdd_c,counterintuitive,4,12,0.0,0.0,0.75,0.25,18.0,11.0,0.0,1.0,0.0,0.333,0.667
gpt_sdd_c,dead_end,4,12,0.083,0.0,0.667,0.25,17.583,10.667,0.053,1.0,0.111,0.333,0.556
gpt_sdd_c,single_detour,4,24,0.25,0.0,0.5,0.25,15.75,8.5,0.122,1.0,0.222,0.444,0.333
gpt_sdd_c,straight_line,4,4,0.75,0.0,0.0,0.25,3.0,4.0,0.75,0.333,0.0,0.333,0.0
