approach,scenario_id,scenario_name,dominant_outcome,consistency_score,consistency_interpretation
gpt_sdd,1,easy_open_short_path,INVALID_CONTROLLER,1.0,high_consistency_stagnation
gpt_sdd,2,easy_single_obstacle_detour,INVALID_CONTROLLER,1.0,high_consistency_stagnation
gpt_sdd,3,easy_l_wall_one_turn,INVALID_CONTROLLER,1.0,high_consistency_stagnation
gpt_sdd,4,easy_corner_goal_blocked,INVALID_CONTROLLER,1.0,high_consistency_stagnation
gpt_sdd,5,easy_two_isolated_obstacles,INVALID_CONTROLLER,1.0,high_consistency_stagnation
gpt_sdd,6,medium_straight_narrow_corridor,INVALID_CONTROLLER,1.0,high_consistency_stagnation
gpt_sdd,7,medium_s_shaped_path,INVALID_CONTROLLER,1.0,high_consistency_stagnation
gpt_sdd,8,medium_central_obstacle,INVALID_CONTROLLER,1.0,high_consistency_stagnation
gpt_sdd,9,medium_single_valid_detour,INVALID_CONTROLLER,1.0,high_consistency_stagnation
gpt_sdd,10,medium_dead_end_corridors,INVALID_CONTROLLER,1.0,high_consistency_stagnation
gpt_sdd,11,hard_maze_one_dead_end,INVALID_CONTROLLER,1.0,high_consistency_stagnation
gpt_sdd,12,hard_u_trap_goal,INVALID_CONTROLLER,1.0,high_consistency_stagnation
gpt_sdd,13,hard_long_detour_budget,INVALID_CONTROLLER,1.0,high_consistency_stagnation
gpt_sdd,14,hard_two_dead_ends,INVALID_CONTROLLER,1.0,high_consistency_stagnation
gpt_sdd,15,hard_move_away_corridor,INVALID_CONTROLLER,1.0,high_consistency_stagnation
gpt_sdd_a,1,easy_open_short_path,GOAL_REACHED,0.75,mixed_or_variable
gpt_sdd_a,2,easy_single_obstacle_detour,GOAL_REACHED,0.5,mixed_or_variable
gpt_sdd_a,3,easy_l_wall_one_turn,GOAL_REACHED,0.75,mixed_or_variable
gpt_sdd_a,4,easy_corner_goal_blocked,GOAL_REACHED,0.75,mixed_or_variable
gpt_sdd_a,5,easy_two_isolated_obstacles,TIMEOUT,0.5,mixed_or_variable
gpt_sdd_a,6,medium_straight_narrow_corridor,TIMEOUT,0.5,mixed_or_variable
gpt_sdd_a,7,medium_s_shaped_path,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_a,8,medium_central_obstacle,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_a,9,medium_single_valid_detour,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_a,10,medium_dead_end_corridors,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_a,11,hard_maze_one_dead_end,GOAL_REACHED,0.75,mixed_or_variable
gpt_sdd_a,12,hard_u_trap_goal,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_a,13,hard_long_detour_budget,TIMEOUT,0.5,mixed_or_variable
gpt_sdd_a,14,hard_two_dead_ends,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_a,15,hard_move_away_corridor,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_b,1,easy_open_short_path,GOAL_REACHED,0.75,mixed_or_variable
gpt_sdd_b,2,easy_single_obstacle_detour,GOAL_REACHED,0.75,mixed_or_variable
gpt_sdd_b,3,easy_l_wall_one_turn,TIMEOUT,0.5,mixed_or_variable
gpt_sdd_b,4,easy_corner_goal_blocked,GOAL_REACHED,0.5,mixed_or_variable
gpt_sdd_b,5,easy_two_isolated_obstacles,GOAL_REACHED,0.5,mixed_or_variable
gpt_sdd_b,6,medium_straight_narrow_corridor,GOAL_REACHED,0.5,mixed_or_variable
gpt_sdd_b,7,medium_s_shaped_path,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_b,8,medium_central_obstacle,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_b,9,medium_single_valid_detour,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_b,10,medium_dead_end_corridors,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_b,11,hard_maze_one_dead_end,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_b,12,hard_u_trap_goal,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_b,13,hard_long_detour_budget,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_b,14,hard_two_dead_ends,TIMEOUT,0.5,mixed_or_variable
gpt_sdd_b,15,hard_move_away_corridor,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_c,1,easy_open_short_path,GOAL_REACHED,0.75,mixed_or_variable
gpt_sdd_c,2,easy_single_obstacle_detour,TIMEOUT,0.5,mixed_or_variable
gpt_sdd_c,3,easy_l_wall_one_turn,GOAL_REACHED,0.5,mixed_or_variable
gpt_sdd_c,4,easy_corner_goal_blocked,GOAL_REACHED,0.5,mixed_or_variable
gpt_sdd_c,5,easy_two_isolated_obstacles,TIMEOUT,0.5,mixed_or_variable
gpt_sdd_c,6,medium_straight_narrow_corridor,GOAL_REACHED,0.5,mixed_or_variable
gpt_sdd_c,7,medium_s_shaped_path,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_c,8,medium_central_obstacle,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_c,9,medium_single_valid_detour,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_c,10,medium_dead_end_corridors,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_c,11,hard_maze_one_dead_end,TIMEOUT,0.5,mixed_or_variable
gpt_sdd_c,12,hard_u_trap_goal,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_c,13,hard_long_detour_budget,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_c,14,hard_two_dead_ends,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_c,15,hard_move_away_corridor,TIMEOUT,0.75,mixed_or_variable
