approach,scenario_id,scenario_name,dominant_outcome,consistency_score,consistency_interpretation
opus_pdd,1,easy_open_short_path,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd,2,easy_single_obstacle_detour,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd,3,easy_l_wall_one_turn,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd,4,easy_corner_goal_blocked,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd,5,easy_two_isolated_obstacles,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd,6,medium_straight_narrow_corridor,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd,7,medium_s_shaped_path,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd,8,medium_central_obstacle,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd,9,medium_single_valid_detour,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd,10,medium_dead_end_corridors,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd,11,hard_maze_one_dead_end,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd,12,hard_u_trap_goal,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd,13,hard_long_detour_budget,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd,14,hard_two_dead_ends,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd,15,hard_move_away_corridor,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a,1,easy_open_short_path,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a,2,easy_single_obstacle_detour,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a,3,easy_l_wall_one_turn,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a,4,easy_corner_goal_blocked,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a,5,easy_two_isolated_obstacles,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a,6,medium_straight_narrow_corridor,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a,7,medium_s_shaped_path,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a,8,medium_central_obstacle,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a,9,medium_single_valid_detour,TIMEOUT,1.0,high_consistency_stagnation
