approach,difficulty,challenge_type,versions_seen,runs,success_rate,collision_rate,timeout_rate,invalid_rate,average_steps,average_optimal_steps,efficiency_score,drift_rate,regression_rate,improvement_rate,pure_trace_drift_rate
opus_pdd,easy,all,5,25,0.0,0.0,1.0,0.0,25.6,7.0,0.0,0.0,0.0,0.0,0.0
opus_pdd,hard,all,5,25,0.0,0.0,1.0,0.0,24.8,11.2,0.0,0.0,0.0,0.0,0.0
opus_pdd,medium,all,5,25,0.0,0.0,1.0,0.0,18.6,10.2,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a,easy,all,5,25,0.0,0.0,1.0,0.0,25.6,7.0,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a,hard,all,5,25,0.0,0.0,1.0,0.0,24.8,11.2,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a,medium,all,5,25,0.0,0.0,1.0,0.0,18.6,10.2,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a1,easy,all,3,15,0.0,0.0,1.0,0.0,25.6,7.0,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a1,hard,all,3,15,0.0,0.0,1.0,0.0,24.8,11.2,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a1,medium,all,3,15,0.0,0.0,1.0,0.0,18.6,10.2,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a2,easy,all,2,10,0.0,0.0,1.0,0.0,25.6,7.0,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a2,hard,all,2,10,0.0,0.0,1.0,0.0,24.8,11.2,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a2,medium,all,2,10,0.0,0.0,1.0,0.0,18.6,10.2,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a3,easy,all,2,10,0.0,0.0,1.0,0.0,25.6,7.0,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a3,hard,all,2,10,0.0,0.0,1.0,0.0,24.8,11.2,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a3,medium,all,2,10,0.0,0.0,1.0,0.0,18.6,10.2,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_b1,easy,all,8,40,0.4,0.0,0.6,0.0,20.2,7.0,0.298,0.514,0.171,0.143,0.2
opus_pdd_group_b1,hard,all,8,40,0.025,0.0,0.975,0.0,24.625,11.2,0.018,0.8,0.029,0.029,0.743
opus_pdd_group_b1,medium,all,8,40,0.075,0.0,0.925,0.0,18.3,10.2,0.053,0.743,0.086,0.057,0.6
opus_pdd_group_b2,easy,all,8,40,0.375,0.0,0.625,0.0,20.55,7.0,0.275,0.629,0.171,0.2,0.257
opus_pdd_group_b2,hard,all,8,40,0.0,0.0,1.0,0.0,24.8,11.2,0.0,0.771,0.0,0.0,0.771
opus_pdd_group_b2,medium,all,8,40,0.025,0.0,0.975,0.0,18.4,10.2,0.025,0.686,0.029,0.0,0.657
opus_pdd_group_b3,easy,all,8,40,0.375,0.0,0.5,0.125,16.825,7.0,0.288,0.657,0.2,0.257,0.2
opus_pdd_group_b3,hard,all,8,40,0.025,0.0,0.85,0.125,21.6,11.2,0.015,0.857,0.029,0.171,0.657
opus_pdd_group_b3,medium,all,8,40,0.1,0.0,0.775,0.125,15.95,10.2,0.064,0.857,0.114,0.2,0.543
