approach,version,challenge_type,scenarios,success_count,success_rate,collision_count,collision_rate,timeout_count,timeout_rate,invalid_count,invalid_rate,average_steps,average_optimal_steps,efficiency_score
opus_pdd,1,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd,2,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd,3,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd,4,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd,5,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_a,1,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_a,2,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_a,3,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_a,4,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_a,5,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_a1,1,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_a1,2,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_a1,3,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_a2,4,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_a2,5,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_a3,6,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_a3,7,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_b1,1,all,15,2,0.133,0,0.0,13,0.867,0,0.0,21.4,9.467,0.133
opus_pdd_group_b1,2,all,15,2,0.133,0,0.0,13,0.867,0,0.0,21.667,9.467,0.087
opus_pdd_group_b1,3,all,15,2,0.133,0,0.0,13,0.867,0,0.0,21.667,9.467,0.087
opus_pdd_group_b1,4,all,15,2,0.133,0,0.0,13,0.867,0,0.0,21.667,9.467,0.108
opus_pdd_group_b1,5,all,15,6,0.4,0,0.0,9,0.6,0,0.0,17.733,9.467,0.291
opus_pdd_group_b1,6,all,15,6,0.4,0,0.0,9,0.6,0,0.0,18.2,9.467,0.278
opus_pdd_group_b1,7,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_b1,8,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_b2,1,all,15,2,0.133,0,0.0,13,0.867,0,0.0,21.4,9.467,0.133
opus_pdd_group_b2,2,all,15,2,0.133,0,0.0,13,0.867,0,0.0,21.467,9.467,0.09
opus_pdd_group_b2,3,all,15,2,0.133,0,0.0,13,0.867,0,0.0,21.467,9.467,0.09
opus_pdd_group_b2,4,all,15,2,0.133,0,0.0,13,0.867,0,0.0,21.2,9.467,0.097
opus_pdd_group_b2,5,all,15,3,0.2,0,0.0,12,0.8,0,0.0,20.467,9.467,0.14
opus_pdd_group_b2,6,all,15,5,0.333,0,0.0,10,0.667,0,0.0,18.0,9.467,0.248
opus_pdd_group_b2,7,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_b2,8,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_b3,1,all,15,0,0.0,0,0.0,0,0.0,15,1.0,0.0,9.467,0.0
opus_pdd_group_b3,2,all,15,2,0.133,0,0.0,13,0.867,0,0.0,21.2,9.467,0.097
opus_pdd_group_b3,3,all,15,2,0.133,0,0.0,13,0.867,0,0.0,21.667,9.467,0.087
opus_pdd_group_b3,4,all,15,1,0.067,0,0.0,14,0.933,0,0.0,21.933,9.467,0.067
opus_pdd_group_b3,5,all,15,8,0.533,0,0.0,7,0.467,0,0.0,16.8,9.467,0.39
opus_pdd_group_b3,6,all,15,7,0.467,0,0.0,8,0.533,0,0.0,17.4,9.467,0.337
opus_pdd_group_b3,7,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_b3,8,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
