approach,scenario_id,scenario_name,dominant_outcome,consistency_score,consistency_interpretation
opus_pdd_group_b1,1,easy_open_short_path,GOAL_REACHED,0.75,mixed_or_variable
opus_pdd_group_b1,2,easy_single_obstacle_detour,GOAL_REACHED,0.5,mixed_or_variable
opus_pdd_group_b1,3,easy_l_wall_one_turn,TIMEOUT,0.75,mixed_or_variable
opus_pdd_group_b1,4,easy_corner_goal_blocked,TIMEOUT,0.75,mixed_or_variable
opus_pdd_group_b1,5,easy_two_isolated_obstacles,TIMEOUT,0.75,mixed_or_variable
opus_pdd_group_b1,6,medium_straight_narrow_corridor,TIMEOUT,0.875,high_consistency_stagnation
opus_pdd_group_b1,7,medium_s_shaped_path,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_b1,8,medium_central_obstacle,TIMEOUT,0.75,mixed_or_variable
opus_pdd_group_b1,9,medium_single_valid_detour,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_b1,10,medium_dead_end_corridors,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_b1,11,hard_maze_one_dead_end,TIMEOUT,0.875,high_consistency_stagnation
opus_pdd_group_b1,12,hard_u_trap_goal,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_b1,13,hard_long_detour_budget,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_b1,14,hard_two_dead_ends,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_b1,15,hard_move_away_corridor,TIMEOUT,1.0,high_consistency_stagnation
