approach,scenario_id,scenario_name,difficulty,challenge_type,from_version,later_versions,preserved_success_count,success_preservation_rate
opus_pdd_group_b3,1,easy_open_short_path,easy,straight_line,2,6,4,0.667
opus_pdd_group_b3,1,easy_open_short_path,easy,straight_line,3,5,3,0.6
opus_pdd_group_b3,1,easy_open_short_path,easy,straight_line,4,4,2,0.5
opus_pdd_group_b3,1,easy_open_short_path,easy,straight_line,5,3,1,0.333
opus_pdd_group_b3,1,easy_open_short_path,easy,straight_line,6,2,0,0.0
opus_pdd_group_b3,2,easy_single_obstacle_detour,easy,single_detour,2,6,3,0.5
opus_pdd_group_b3,2,easy_single_obstacle_detour,easy,single_detour,3,5,2,0.4
opus_pdd_group_b3,2,easy_single_obstacle_detour,easy,single_detour,5,3,1,0.333
opus_pdd_group_b3,2,easy_single_obstacle_detour,easy,single_detour,6,2,0,0.0
opus_pdd_group_b3,3,easy_l_wall_one_turn,easy,single_detour,5,3,1,0.333
opus_pdd_group_b3,3,easy_l_wall_one_turn,easy,single_detour,6,2,0,0.0
opus_pdd_group_b3,4,easy_corner_goal_blocked,easy,single_detour,5,3,1,0.333
opus_pdd_group_b3,4,easy_corner_goal_blocked,easy,single_detour,6,2,0,0.0
opus_pdd_group_b3,5,easy_two_isolated_obstacles,easy,single_detour,5,3,1,0.333
opus_pdd_group_b3,5,easy_two_isolated_obstacles,easy,single_detour,6,2,0,0.0
opus_pdd_group_b3,8,medium_central_obstacle,medium,single_detour,5,3,1,0.333
opus_pdd_group_b3,8,medium_central_obstacle,medium,single_detour,6,2,0,0.0
opus_pdd_group_b3,9,medium_single_valid_detour,medium,single_detour,5,3,1,0.333
opus_pdd_group_b3,9,medium_single_valid_detour,medium,single_detour,6,2,0,0.0
opus_pdd_group_b3,11,hard_maze_one_dead_end,hard,dead_end,5,3,0,0.0
