approach,challenge_type,versions_seen,runs,success_rate,collision_rate,timeout_rate,invalid_rate,average_steps,average_optimal_steps,efficiency_score,drift_rate,regression_rate,improvement_rate,pure_trace_drift_rate
opus_sdd,corridor,1,2,0.0,0.0,1.0,0.0,17.5,11.0,0.0,,,,
opus_sdd,counterintuitive,1,3,0.0,0.0,1.0,0.0,24.0,11.0,0.0,,,,
opus_sdd,dead_end,1,3,0.0,0.0,1.0,0.0,24.0,10.667,0.0,,,,
opus_sdd,single_detour,1,6,0.0,0.0,1.0,0.0,24.333,8.5,0.0,,,,
opus_sdd,straight_line,1,1,0.0,0.0,1.0,0.0,20.0,4.0,0.0,,,,
opus_sdd_a,corridor,4,8,0.375,0.0,0.625,0.0,14.5,11.0,0.375,0.833,0.167,0.167,0.5
opus_sdd_a,counterintuitive,4,12,0.083,0.0,0.917,0.0,23.917,11.0,0.032,1.0,0.111,0.0,0.889
opus_sdd_a,dead_end,4,12,0.333,0.0,0.667,0.0,21.5,10.667,0.207,1.0,0.444,0.222,0.333
opus_sdd_a,single_detour,4,24,0.5,0.0,0.5,0.0,18.708,8.5,0.278,0.944,0.389,0.278,0.278
opus_sdd_a,straight_line,4,4,1.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0
opus_sdd_b,corridor,4,8,0.375,0.0,0.625,0.0,15.75,11.0,0.271,0.667,0.167,0.167,0.333
opus_sdd_b,counterintuitive,4,12,0.167,0.0,0.833,0.0,23.5,11.0,0.07,0.667,0.0,0.111,0.556
opus_sdd_b,dead_end,4,12,0.083,0.0,0.917,0.0,23.333,10.667,0.046,0.667,0.111,0.0,0.556
opus_sdd_b,single_detour,4,24,0.333,0.0,0.667,0.0,20.875,8.5,0.178,0.667,0.222,0.111,0.333
opus_sdd_b,straight_line,4,4,1.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0
opus_sdd_c,corridor,4,8,0.5,0.0,0.5,0.0,13.5,11.0,0.5,0.333,0.0,0.0,0.333
opus_sdd_c,counterintuitive,4,12,0.0,0.0,1.0,0.0,24.0,11.0,0.0,0.889,0.0,0.0,0.889
opus_sdd_c,dead_end,4,12,0.333,0.0,0.667,0.0,21.5,10.667,0.207,0.667,0.222,0.0,0.444
opus_sdd_c,single_detour,4,24,0.667,0.0,0.333,0.0,15.708,8.5,0.375,0.333,0.111,0.0,0.222
opus_sdd_c,straight_line,4,4,1.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0
