approach,scenario_id,scenario_name,dominant_outcome,consistency_score,consistency_interpretation
opus_sdd_c,1,easy_open_short_path,GOAL_REACHED,1.0,high_consistency_reliable_success
opus_sdd_c,2,easy_single_obstacle_detour,GOAL_REACHED,1.0,high_consistency_reliable_success
opus_sdd_c,3,easy_l_wall_one_turn,GOAL_REACHED,1.0,high_consistency_reliable_success
opus_sdd_c,4,easy_corner_goal_blocked,GOAL_REACHED,1.0,high_consistency_reliable_success
opus_sdd_c,5,easy_two_isolated_obstacles,GOAL_REACHED,1.0,high_consistency_reliable_success
opus_sdd_c,6,medium_straight_narrow_corridor,GOAL_REACHED,1.0,high_consistency_reliable_success
opus_sdd_c,7,medium_s_shaped_path,TIMEOUT,1.0,high_consistency_stagnation
opus_sdd_c,8,medium_central_obstacle,TIMEOUT,1.0,high_consistency_stagnation
opus_sdd_c,9,medium_single_valid_detour,TIMEOUT,1.0,high_consistency_stagnation
opus_sdd_c,10,medium_dead_end_corridors,GOAL_REACHED,0.5,mixed_or_variable
opus_sdd_c,11,hard_maze_one_dead_end,TIMEOUT,1.0,high_consistency_stagnation
opus_sdd_c,12,hard_u_trap_goal,TIMEOUT,1.0,high_consistency_stagnation
opus_sdd_c,13,hard_long_detour_budget,TIMEOUT,1.0,high_consistency_stagnation
opus_sdd_c,14,hard_two_dead_ends,GOAL_REACHED,0.5,mixed_or_variable
opus_sdd_c,15,hard_move_away_corridor,TIMEOUT,1.0,high_consistency_stagnation
