approach,scenario_id,scenario_name,dominant_outcome,consistency_score,consistency_interpretation
gpt_pdd_group_a1,1,easy_open_short_path,GOAL_REACHED,1.0,high_consistency_reliable_success
gpt_pdd_group_a1,2,easy_single_obstacle_detour,TIMEOUT,1.0,high_consistency_stagnation
gpt_pdd_group_a1,3,easy_l_wall_one_turn,TIMEOUT,0.667,mixed_or_variable
gpt_pdd_group_a1,4,easy_corner_goal_blocked,TIMEOUT,1.0,high_consistency_stagnation
gpt_pdd_group_a1,5,easy_two_isolated_obstacles,TIMEOUT,1.0,high_consistency_stagnation
gpt_pdd_group_a1,6,medium_straight_narrow_corridor,GOAL_REACHED,1.0,high_consistency_reliable_success
gpt_pdd_group_a1,7,medium_s_shaped_path,TIMEOUT,1.0,high_consistency_stagnation
gpt_pdd_group_a1,8,medium_central_obstacle,TIMEOUT,1.0,high_consistency_stagnation
gpt_pdd_group_a1,9,medium_single_valid_detour,TIMEOUT,1.0,high_consistency_stagnation
gpt_pdd_group_a1,10,medium_dead_end_corridors,TIMEOUT,1.0,high_consistency_stagnation
gpt_pdd_group_a1,11,hard_maze_one_dead_end,TIMEOUT,0.667,mixed_or_variable
gpt_pdd_group_a1,12,hard_u_trap_goal,TIMEOUT,1.0,high_consistency_stagnation
gpt_pdd_group_a1,13,hard_long_detour_budget,TIMEOUT,1.0,high_consistency_stagnation
gpt_pdd_group_a1,14,hard_two_dead_ends,TIMEOUT,1.0,high_consistency_stagnation
gpt_pdd_group_a1,15,hard_move_away_corridor,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a1,1,easy_open_short_path,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a1,2,easy_single_obstacle_detour,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a1,3,easy_l_wall_one_turn,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a1,4,easy_corner_goal_blocked,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a1,5,easy_two_isolated_obstacles,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a1,6,medium_straight_narrow_corridor,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a1,7,medium_s_shaped_path,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a1,8,medium_central_obstacle,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a1,9,medium_single_valid_detour,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a1,10,medium_dead_end_corridors,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a1,11,hard_maze_one_dead_end,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a1,12,hard_u_trap_goal,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a1,13,hard_long_detour_budget,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a1,14,hard_two_dead_ends,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a1,15,hard_move_away_corridor,TIMEOUT,1.0,high_consistency_stagnation
