approach,challenge_type,versions_seen,runs,success_rate,collision_rate,timeout_rate,invalid_rate,average_steps,average_optimal_steps,efficiency_score,drift_rate,regression_rate,improvement_rate,pure_trace_drift_rate
gpt_pdd_group_a,corridor,5,10,0.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
gpt_pdd_group_a,counterintuitive,5,15,0.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
gpt_pdd_group_a,dead_end,5,15,0.0,0.0,0.0,1.0,0.0,10.667,0.0,0.0,0.0,0.0,0.0
gpt_pdd_group_a,single_detour,5,30,0.0,0.0,0.0,1.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0
gpt_pdd_group_a,straight_line,5,5,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a,corridor,5,10,0.0,0.0,1.0,0.0,17.5,11.0,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a,counterintuitive,5,15,0.0,0.0,1.0,0.0,24.0,11.0,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a,dead_end,5,15,0.0,0.0,1.0,0.0,24.0,10.667,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a,single_detour,5,30,0.0,0.0,1.0,0.0,24.333,8.5,0.0,0.0,0.0,0.0,0.0
opus_pdd_group_a,straight_line,5,5,0.0,0.0,1.0,0.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0
